document,name,job,jobArea,jobType,phoneNumber,birthDate,city,state,totalSpent,tipo_doc,check_phone_Number,check_jobArea,ano
88363035521,Martina Moreira,Associado Contas Legado,Marketing,Designer,3011958461,09-08-1978,Reis de Nossa Senhora,BA,381.15,Pessoa Física,True,False,1978
12773203739,Élcio Braga Jr. Neto,Estrategista Rede Cliente,Pesquisa,Administrador,2859876824,31-03-1978,Vila Taiane de Nossa Senhora,PE,93.22,Pessoa Física,True,False,1978
33708720308020,Jonelice Costa,Coordenador Usabilidade Distrito,Mobilidade,Executivo,3419163851,26-10-1978,Velha Isaura,RJ,956.08,Pessoa Jurídica,True,False,1978
01507224464307,Adelia Carvalho Filho,Oficial Marca Direto,Implementação,Coordenador,68546008685,20-08-1978,Velha Marily,TO,871.42,Pessoa Jurídica,True,False,1978
48633937506,Aderbal Macedo,Estrategista Intranet Global,Identidade,Representante,4780079663,09-12-1978,Grande Yukiko do Norte,ES,990.19,Pessoa Física,True,False,1978
64149325588,Nailton Reis,Designer Divisão Líder,Funcionalidade,Planejador,1946537045,24-07-1978,Velha Tirson,ES,424.75,Pessoa Física,True,False,1978
03359469500,Vicente,Agente Intranet Cliente,Programa,Estrategista,96376846854,09-12-1978,Carvalho de Nossa Senhora,PA,519.39,Pessoa Física,True,False,1978
29552753287,Kenner,Diretor Contas Nacional,Interações,Estrategista,8699688111,18-07-1978,Vila Nordi do Norte,RO,508.67,Pessoa Física,True,False,1978
60615575184527,Sr. Josilene Martins,Oficial Dados Chefe,Contas,Administrador,3260522384,17-09-1978,Nova Nilcea,AM,871.94,Pessoa Jurídica,True,False,1978
11149218401,Robson,Arquiteto Pesquisa Distrito,Grupo,Estrategista,079546650,16-08-1978,Grande Genovez do Norte,MT,382.11,Pessoa Física,True,False,1978
40830636455,Conceiçao Oliveira,Gerente Branding Central,Operações,Especialista,0986292565,05-08-1978,Dilma do Descoberto,PB,518.67,Pessoa Física,True,False,1978
26882444501,Ilson Reis Jr.,Analista Grupo Global,Usabilidade,Representante,27761540,08-06-1978,Amadeus do Descoberto,GO,470.15,Pessoa Física,True,False,1978
58331817125,Sirlene Neto,Estrategista Pesquisa Legado,Mercados,Diretor,77912214699,04-01-1978,Albuquerque de Nossa Senhora,RS,118.58,Pessoa Física,True,False,1978
37281712391,Sr. Andrew Costa,Gerente Criativo Nacional,Mobilidade,Orquestrador,85476416541,29-05-1978,Vila Regivaldo,MG,468.51,Pessoa Física,True,False,1978
04246451223,Célio Carvalho,Administrador Interações Interno,Dados,Supervisor,0211756920,20-10-1978,Moraes do Sul,RR,545.29,Pessoa Física,True,False,1978
70706616837360,Eugênio,Ligação Divisão Chefe,Mobilidade,Técnico,8822402728,12-10-1978,Raquel do Sul,MS,48.4,Pessoa Jurídica,True,False,1978
82632033701176,Sr. Cyrus Barros,Estrategista Marca Direto,Grupo,Gerente,56293082091,30-09-1978,Nova Waldenia de Nossa Senhora,PI,940.01,Pessoa Jurídica,True,False,1978
93752186003,Srta. Ediraci Neto,Supervisor A infraestrutura Central,Interações,Oficial,3278868542,14-12-1978,Velha Gleison,PA,114.63,Pessoa Física,True,False,1978
37126663730,Oriovaldo Saraiva Filho Jr.,Administrador Branding Cliente,Mobilidade,Executivo,9939173996,22-03-1978,Albuquerque de Nossa Senhora,AM,242.02,Pessoa Física,True,False,1978
78483046040,Edésio Moreira,Supervisor Identidade Frente,Resposta,Desenvolvedor,5475328023,04-22-1978,Xavier do Sul,CE,405.55,Pessoa Física,True,False,1978
38258252640,Srta. Vuban Batista Jr.,Administrador Fatores Regional,Otimização,Oficial,35629310178,23-11-1978,Município de Auad do Descoberto,RJ,564.58,Pessoa Física,True,False,1978
46831064000,Glauber Pereira,Desenvolvedor Rede Investidor,Contas,Coordenador,4616701073,23-07-1978,Nova Pedro do Norte,MG,794.08,Pessoa Física,True,False,1978
68315752693,Sra. Jucemara Nogueira,Estrategista Métricas Central,Mobilidade,Analista,5484635044,03-08-1978,Grande Thelma,CE,503.89,Pessoa Física,True,False,1978
55298739288,Claudine Costa,Designer Táticas Regional,Ainfraestrutura,Executivo,9944602715,18-06-1978,Damaris de Nossa Senhora,MA,611.16,Pessoa Física,True,False,1978
77107529692,Mary Jr.,Orquestrador Marca Distrito,,Estrategista,57660942461,09-06-1978,Nova Jonelice,RJ,275.52,Pessoa Física,True,True,1978
61853742260,Terezinha Moreira Jr.,Oficial Marca Legado,Fatores,Estrategista,2929337288,27-04-1978,Martins do Descoberto,MT,884.29,Pessoa Física,True,False,1978
66347318709,Sr. Nivon,Engenheiro Grupo Regional,Funcionalidade,Ligação,,25-06-1978,Velha Kelly do Sul,MT,119.95,Pessoa Física,False,False,1978
85264136432,Walkiria,Agente Contas Internacional,,Agente,4086067150,25-03-1978,Elizabete de Nossa Senhora,PR,817.38,Pessoa Física,True,True,1978
41861401388,Adeilson,Estrategista Segurança Corporativo,Implementação,Ligação,7668006210,27-07-1978,Vila Josebie,PB,101.99,Pessoa Física,True,False,1978
05348880126630,Sra. Irlene Costa,Planejador Interações Global,Otimização,Agente,3224604830,04-08-1978,Município de Rocio do Norte,GO,913.11,Pessoa Jurídica,True,False,1978
93146662205,Adenard,Engenheiro Dados Distrito,Funcionalidade,Desenvolvedor,3849151933,27-06-1978,Vila Anailza de Nossa Senhora,RS,749.94,Pessoa Física,True,False,1978
88012664569,Franziska Barros Neto,Supervisor Comunicações Legado,Qualidade,Executivo,1756598267,03-12-1978,Grande Cilene do Descoberto,RO,807.37,Pessoa Física,True,False,1978
57620278729,Dempsey Reis,Designer Paradigma Cliente,Otimização,Técnico,5675867805,28-11-1978,Velha Cármen do Sul,PI,331.74,Pessoa Física,True,False,1978
54063177335,Dr. Waldecir Pereira,Analista Pesquisa Internacional,Marca,Planejador,299535077,17-03-1978,Macedo do Sul,PR,94.33,Pessoa Física,True,False,1978
21838611932,Srta. Neide Carvalho,Planejador Qualidade Cliente,Dados,Ligação,1040940439,14-02-1978,Melo de Nossa Senhora,SP,434.5,Pessoa Física,True,False,1978
47896138441,Zenaide Macedo Neto,Ligação Integração Interno,,Técnico,0424531739,20-08-1978,Macedo do Sul,PE,705.87,Pessoa Física,True,True,1978
35307830021490,Dr. Jozivaldo Moraes Filho,Administrador Prestação de contas Cliente,Implementação,Oficial,65064527753,12-09-1978,Nova Juliane,BA,467.54,Pessoa Jurídica,True,False,1978
67146142175,Alessandra Franco Neto,Coordenador Identidade Nacional,Dados,Oficial,53991671095,03-06-1978,Souza do Descoberto,DF,832.65,Pessoa Física,True,False,1978
17370200146265,Tennison Pereira Neto,Oficial Métricas Corporativo,Segurança,Supervisor,61043793,30-01-1978,Anna do Sul,ES,120.58,Pessoa Jurídica,True,False,1978
