document,name,job,jobArea,jobType,phoneNumber,birthDate,city,state,totalSpent,tipo_doc,check_phone_Number,check_jobArea,ano
63622408715,Srta. Dr. Isnaldo Silva,Associado Rede Internacional,Resposta,Gerente,1851182116,13-09-1974,Gersino de Nossa Senhora,AL,556.31,Pessoa Física,True,False,1974
20562762818337,Venina,Representante Implementação Legado,Prestaçãodecontas,Designer,4334824056,27-03-1974,Xavier do Norte,AL,967.34,Pessoa Jurídica,True,False,1974
09622149812,Agostinho Martins Neto,Desenvolvedor Pesquisa Produtos,Funcionalidade,Designer,2927643012,30-08-1974,Velha Romao do Descoberto,MA,636.89,Pessoa Física,True,False,1974
96718722120,Sra. Sra. Isi Oliveira,Estrategista Criativo Nacional,Aplicações,Assistente,4084108798,13-06-1974,Vila Ealton,AC,504.45,Pessoa Física,True,False,1974
41750811203110,Mathew Martins,Oficial Fatores Dinâmico,Táticas,Diretor,08091172337,19-05-1974,Velha Sherida do Sul,ES,3.71,Pessoa Jurídica,True,False,1974
51455763667,Ovidio Oliveira,Analista Táticas Investidor,Funcionalidade,Diretor,6141040512,25-08-1974,Layandson do Descoberto,CE,82.95,Pessoa Física,True,False,1974
88505393716,Elivana Carvalho,Ligação Divisão Produtos,Fatores,Ligação,3377905113,19-02-1974,Carvalho do Sul,SC,276.98,Pessoa Física,True,False,1974
36374048776,Dr. Srta. Vital Moreira,Oficial Otimização Cliente,Segurança,Supervisor,1048747384,15-04-1974,Nova Percio,SC,322.98,Pessoa Física,True,False,1974
86267708390,Juliane,Supervisor Resposta Central,Usabilidade,Analista,5137954416,26-05-1974,Christhianne de Nossa Senhora,PB,556.07,Pessoa Física,True,False,1974
25676366337763,Adelson Santos Filho,Executivo Segurança Global,Operações,Executivo,09239936727,21-06-1974,Município de Elizete,CE,531.07,Pessoa Jurídica,True,False,1974
37537336288,Ubirassim Reis,Designer A infraestrutura Central,Comunicações,Designer,56766676,30-03-1974,Ivan do Descoberto,PA,116.63,Pessoa Física,True,False,1974
00323582706325,Alexinaldo Costa Jr. Filho,Analista Resposta Direto,Pesquisa,Produtor,3958129824,31-05-1974,Velha Auxiliadora,MT,736.64,Pessoa Jurídica,True,False,1974
86811149566,Srta. Roque Pereira,Especialista Diretivas Global,Programa,Diretor,9536412133,20-01-1974,Nova Ademar,RS,579.92,Pessoa Física,True,False,1974
74858541355,Elvis Santos,Orquestrador Dados Interno,Mobilidade,Associado,97481564961,11-08-1974,Nova Gabriela de Nossa Senhora,CE,310.54,Pessoa Física,True,False,1974
68274725755170,Julia Oliveira Filho Neto,Ligação Paradigma Internacional,Intranet,Agente,52531784211,07-04-1974,Elisangela do Descoberto,RJ,619.64,Pessoa Jurídica,True,False,1974
54217001517,Adenir Pereira,Planejador Grupo Frente,Funcionalidade,Analista,3215410032,14-10-1974,Grande Arturo do Descoberto,CE,464.09,Pessoa Física,False,True,1974
77482740880,Dr. Erivelto Macedo,Diretor Paradigma Líder,Métricas,Representante,1806889139,23-01-1974,Santos de Nossa Senhora,PI,541.28,Pessoa Física,True,False,1974
