document,name,job,jobArea,jobType,phoneNumber,birthDate,city,state,totalSpent,tipo_doc,check_phone_Number,check_jobArea,ano
23285262680,Dov Carvalho Jr.,Administrador Pesquisa Legado,Resposta,Analista,65373284182,02-08-1989,Nova Elisabete,TO,795.89,Pessoa Física,True,False,1989
02741370621,Srta. Srta. Valeria Moraes Neto,Ligação Aplicações Investidor,Pesquisa,Orquestrador,87161370,14-02-1989,Velha Christianne,DF,1.25,Pessoa Física,True,False,1989
28174441083580,Conrado Batista,Técnico Divisão Global,Fatores,Estrategista,9782721409,12-06-1989,Melo do Sul,AC,951.09,Pessoa Jurídica,True,False,1989
12837502014,Srta. Rosangela Melo,Ligação Comunicações Dinâmico,Diretivas,Especialista,2618070650,19-03-1989,Grande Edelcio,MS,700.54,Pessoa Física,True,False,1989
61830623711791,Sra. Eliezer Martins Filho,Representante Mobilidade Cliente,,Gerente,0991850949,30-08-1989,Vila Luzia do Sul,RJ,136.25,Pessoa Jurídica,True,True,1989
22575632633,Gercino Neto,Oficial Rede Regional,Integração,Assistente,18545813105,02-04-1989,Izabel do Descoberto,RJ,744.95,Pessoa Física,True,False,1989
30133863823269,Sr. Omero Moreira,Supervisor Identidade Regional,Ainfraestrutura,Analista,0494269050,04-04-1989,Denise do Norte,BA,10.4,Pessoa Jurídica,True,False,1989
46246722407,Sra. Adirson Braga,Produtor Diretivas Cliente,Aplicações,Estrategista,8829159538,04-03-1989,Nova Sylvério,RO,401.83,Pessoa Física,True,False,1989
05825386378,Osmundo Pereira,Associado Usabilidade Produtos,Marca,Engenheiro,60062886160,19-02-1989,Município de Sidalia do Sul,AL,892.02,Pessoa Física,True,False,1989
61107257140,Julia Albuquerque Filho,Assistente Paradigma Corporativo,Ainfraestrutura,Orquestrador,2928740439,11-25-1989,Município de Oswaldo,RR,295.41,Pessoa Física,True,False,1989
29591001401,Graziella Xavier Jr.,Executivo Pesquisa Legado,Ainfraestrutura,Arquiteto,93781075298,23-01-1989,Vila Jumara do Norte,RR,460.52,Pessoa Física,True,False,1989
84523736102808,Dr. Floraci Reis,Administrador Branding Chefe,Fatores,Representante,11930295233,01-04-1989,Velha Guo,AC,828.74,Pessoa Jurídica,True,False,1989
77488799070,Adda Oliveira Neto,Analista Dados Central,Ainfraestrutura,Assistente,39913317341,13-06-1989,Município de Aldo de Nossa Senhora,AM,146.7,Pessoa Física,True,False,1989
06026308074200,Tarsila Nogueira,Diretor Prestação de contas Interno,Diretivas,Especialista,6954837527,18-02-1989,Grande Angelino,RN,452.0,Pessoa Jurídica,True,False,1989
81770964193,Srta. Judimar Saraiva Neto,Especialista Resposta Dinâmico,Marca,Gerente,29969730010,28-02-1989,Ramilton de Nossa Senhora,BA,102.96,Pessoa Física,True,False,1989
85765284048367,Sr. Jayme Reis Jr.,Agente Aplicações Investidor,Grupo,Desenvolvedor,9091241159,02-05-1989,Melo do Descoberto,RJ,718.2,Pessoa Jurídica,True,False,1989
44806628555709,Sr. Rene Silva Jr.,Orquestrador Paradigma Produtos,Implementação,Administrador,9054801028,02-03-1989,Vila Claudineia do Descoberto,DF,998.05,Pessoa Jurídica,True,False,1989
68549737321,Katsuo Souza Filho,Oficial Resposta Direto,Fatores,Consultor,15285661733,15-04-1989,Nova Jânio,AL,647.9,Pessoa Física,True,False,1989
