document,name,job,jobArea,jobType,phoneNumber,birthDate,city,state,totalSpent,tipo_doc,check_phone_Number,check_jobArea,ano
38730338603,Cássia Franco,Diretor Táticas Sênior,Mobilidade,Administrador,16073190491,28-03-1988,Velha Thais,GO,850.59,Pessoa Física,True,False,1988
51945846100,Amélia Nogueira,Técnico A infraestrutura Nacional,Rede,Planejador,37713080203,09-12-1988,Município de Janette,RO,2.4,Pessoa Física,True,False,1988
98638586418,Silmara Carvalho,Oficial Divisão Frente,Rede,Ligação,843112762,26-09-1988,Município de Vanildo,MG,915.6,Pessoa Física,True,False,1988
01480470503,Condeci Carvalho Filho,Agente Integração Chefe,Paradigma,Oficial,9591360882,09-02-1988,Velha Glaydson do Norte,PR,496.38,Pessoa Física,True,False,1988
28263556430,Auristela Martins,Produtor Branding Diretor,Segurança,Designer,3761913144,09-02-1988,Velha Etenildo,GO,369.98,Pessoa Física,True,False,1988
06606054737,Espedito Pereira,Ligação Identidade Investidor,Táticas,Ligação,7126411836,31-07-1988,Velha Joyce do Norte,PE,855.84,Pessoa Física,True,False,1988
10755119509,Marly Xavier Neto,Gerente Otimização Cliente,Divisão,Coordenador,7117688760,14-12-1988,Saraiva do Sul,TO,311.72,Pessoa Física,True,False,1988
98914862577,Giseli Moraes,Coordenador Dados Investidor,Diretivas,Coordenador,0998134803,05-06-1988,Grande Welington do Norte,GO,170.97,Pessoa Física,True,False,1988
25064855508674,Marilena Martins,Assistente Mobilidade Nacional,Comunicações,Consultor,4183017785,12-04-1988,Santos de Nossa Senhora,RS,819.05,Pessoa Jurídica,True,False,1988
85311286240066,Arethusa Pereira Jr.,Técnico A infraestrutura Distrito,Métricas,Supervisor,24008448380,17-07-1988,Grande Neilton,AM,533.76,Pessoa Jurídica,False,True,1988
71354862713205,Antélio Oliveira Jr. Neto,Engenheiro Aplicações Cliente,Otimização,Orquestrador,48492745,03-07-1988,Velha Janivan do Sul,RR,934.65,Pessoa Jurídica,True,False,1988
71158152086,Sr. Rynaldo,Designer Resposta Interno,Paradigma,Oficial,86764131,30-09-1988,Xavier do Descoberto,AP,285.04,Pessoa Física,True,False,1988
91646132599,Srta. Toshio Filho,Associado Mobilidade Produtos,Implementação,Orquestrador,47949144608,28-07-1988,Moraes do Norte,ES,310.06,Pessoa Física,True,False,1988
71654214752,Luiz Albuquerque Neto,Coordenador Comunicações Distrito,Soluções,Técnico,435926570,18-10-1988,Velha June de Nossa Senhora,BA,326.68,Pessoa Física,True,False,1988
58023151053,Sra. Zulamar Santos Neto,Produtor Mercados Global,Criativo,Executivo,3041631289,09-09-1988,Grande Daniela,GO,89.06,Pessoa Física,True,False,1988
71827851733220,Jeovana Batista,Gerente Integração Legado,Garantia,Diretor,,07-03-1988,Filadelfo do Norte,PA,544.87,Pessoa Jurídica,False,False,1988
37774958754,Cornelio Macedo,Oficial Branding Dinâmico,Branding,Associado,6024798364,29-07-1988,Nova Wilton,PE,568.01,Pessoa Física,True,False,1988
33037491590,Laureci Barros,Agente Comunicações Diretor,Diretivas,Especialista,9921906762,10-08-1988,Emilio de Nossa Senhora,MA,24.03,Pessoa Física,True,False,1988
16362769201,Welson Carvalho,Consultor Dados Regional,Mercados,Orquestrador,4388382538,21-06-1988,Velha Teadeu do Descoberto,PB,252.31,Pessoa Física,True,False,1988
77267613187,Givanildo Souza Filho,Técnico Otimização Chefe,Pesquisa,Engenheiro,8153641034,21-01-1988,Carvalho do Descoberto,RO,53.21,Pessoa Física,True,False,1988
17687336034748,Sra. Kenedy Souza,Assistente Funcionalidade Global,Comunicações,Desenvolvedor,3658232164,05-10-1988,Nova Edevado,ES,142.44,Pessoa Jurídica,True,False,1988
65547663166,Jamiro Reis Jr.,Produtor Comunicações Líder,Divisão,Analista,29227146,08-03-1988,Vila Valmir,RN,976.79,Pessoa Física,True,False,1988
30381823347523,Srta. Idael Costa,Executivo Mercados Cliente,Programa,Assistente,64626234324,03-10-1988,Xavier do Descoberto,AL,902.01,Pessoa Jurídica,True,False,1988
55363422743,Inácio Carvalho,Executivo Interações Chefe,Branding,Designer,4271929377,12-06-1988,Grande Fuad,PB,514.13,Pessoa Física,True,False,1988
33766266420,Izis Oliveira,Estrategista Qualidade Dinâmico,Paradigma,Consultor,59928283207,03-11-1988,Velha Christianne,RO,734.12,Pessoa Física,True,False,1988
59423656870,Dr. Sr. Ildefonso Melo,Representante Qualidade Chefe,Mercados,Agente,192110895,04-18-1988,Marina do Sul,PR,27.41,Pessoa Física,True,False,1988
71621527409,Genes,Oficial Aplicações Chefe,Usabilidade,Agente,6378063150,29-02-1988,Nova Demário,MT,739.22,Pessoa Física,True,False,1988
32587367332738,Wendel,Produtor Táticas Central,Identidade,Estrategista,44660739406,25-10-1988,Admir do Sul,AP,13.54,Pessoa Jurídica,True,False,1988
