document,name,job,jobArea,jobType,phoneNumber,birthDate,city,state,totalSpent,tipo_doc,check_phone_Number,check_jobArea,ano
43748573030,Eleonora,Ligação Diretivas Interno,Resposta,Diretor,,05-05-1976,Enzo do Sul,MT,93.86,Pessoa Física,False,False,1976
42643311701,Robertson Nogueira Neto,Executivo Segurança Produtos,Ainfraestrutura,Especialista,7464350823,07-11-1976,Nova Evelyn do Norte,SP,783.39,Pessoa Física,True,False,1976
68294524816,Srta. Rui Xavier,Orquestrador Diretivas Frente,,Gerente,41332901,05-12-1976,Timothy do Norte,AL,274.28,Pessoa Física,True,True,1976
02057171147604,Sra. Jung Batista Jr.,Consultor Comunicações Produtos,Intranet,Desenvolvedor,89699132537,03-03-1976,Município de Alicia do Sul,PR,251.47,Pessoa Jurídica,True,False,1976
56505824737588,Eini Braga,Coordenador Prestação de contas Frente,,Agente,57736753,13-08-1976,Município de Christianne de Nossa Senhora,AM,80.4,Pessoa Jurídica,True,True,1976
28553221890,Dr. Cintia Franco Neto Neto,Orquestrador Resposta Chefe,Identidade,Estrategista,,01-04-1976,Souza de Nossa Senhora,AM,723.42,Pessoa Física,False,False,1976
69392251530,Eurico Carvalho Jr. Neto,Representante Intranet Internacional,Aplicações,Coordenador,63503840388,05-06-1976,Município de Arnold do Norte,PA,959.45,Pessoa Física,True,False,1976
86833642113129,Sr. Natalia Xavier,Designer Contas Frente,Pesquisa,Oficial,4943962721,26-05-1976,Nova Manuela,RS,776.99,Pessoa Jurídica,True,False,1976
74270201622,Sr. Lenaldo Reis,Assistente Integração Chefe,Divisão,Facilitador,5282960984,29-10-1976,Melo do Norte,MT,214.63,Pessoa Física,True,False,1976
95620482251,Dalva Saraiva Jr.,Gerente Grupo Frente,Otimização,Desenvolvedor,1815482268,01-10-1976,Adonil de Nossa Senhora,AC,505.28,Pessoa Física,True,False,1976
86066730055355,Srta. Arlete Braga Neto,Oficial Táticas Chefe,Implementação,Engenheiro,3726740615,02-03-1976,Marcelino do Descoberto,PB,240.97,Pessoa Jurídica,True,False,1976
52847518410,Srta. Binggeli,Orquestrador Pesquisa Interno,Contas,Administrador,14911172097,08-11-1976,Yulle do Norte,AL,997.84,Pessoa Física,True,False,1976
83434872721330,Doralice Moreira,Engenheiro Criativo Internacional,Fatores,Especialista,2893866007,25-11-1976,Nova Kouki do Sul,PB,34.47,Pessoa Jurídica,True,False,1976
71252544707,Diogenes Batista,Coordenador Divisão Distrito,Paradigma,Coordenador,5931405273,11-04-1976,Franco de Nossa Senhora,AP,628.67,Pessoa Física,True,False,1976
10188440777105,Danae Barros Jr.,Gerente Dados Global,Fatores,Gerente,6771059173,31-05-1976,Barros do Descoberto,AL,280.18,Pessoa Jurídica,True,False,1976
01341169170,Josimar Batista,Técnico Funcionalidade Central,Operações,Produtor,6363573888,04-06-1976,Oliveira de Nossa Senhora,RS,83.54,Pessoa Física,True,False,1976
63453547074875,Maria Melo,Especialista Segurança Direto,Programa,Coordenador,4723266108,12-10-1976,Vila Elenil do Descoberto,PB,747.84,Pessoa Jurídica,True,False,1976
88063040211680,Inessa Martins Neto,Diretor Programa Líder,Rede,Arquiteto,2020658240,11-10-1976,Franco do Descoberto,RO,626.83,Pessoa Jurídica,True,False,1976
96157782145,Dr. Fabíola Neto,Orquestrador Operações Internacional,Métricas,Diretor,41535141034,12-13-1976,Zilmar do Descoberto,PA,514.52,Pessoa Física,True,False,1976
15384314591,Edinar Santos Jr. Jr.,Consultor Resposta Investidor,Ainfraestrutura,Especialista,98330825000,18-05-1976,Nova Cintia do Norte,SP,98.74,Pessoa Física,True,False,1976
34524029168,Sr. Judith Souza,Designer Divisão Diretor,Qualidade,Analista,9069578511,18-04-1976,Xavier do Descoberto,PA,554.58,Pessoa Física,True,False,1976
11631545205,Americo Xavier Filho Filho,Designer Configuração Central,Identidade,Analista,4598000307,01-09-1976,Martins de Nossa Senhora,PR,352.16,Pessoa Física,True,False,1976
86442453766,Gersé Carvalho,Designer Resposta Sênior,Qualidade,Assistente,0571461190,29-04-1976,Melo do Descoberto,MS,7.06,Pessoa Física,True,False,1976
75145619782,Rosildo Carvalho Filho,Associado Prestação de contas Corporativo,Qualidade,Técnico,4153861717,01-07-1976,Grande Edem,MT,454.45,Pessoa Física,True,False,1976
07336547117,Srta. Wesley Moreira,Estrategista Diretivas Interno,Identidade,Designer,1992601762,23-04-1976,Souza do Descoberto,PI,346.29,Pessoa Física,True,False,1976
11771952164,Emmanuel Filho,Executivo Garantia Investidor,Fatores,Ligação,79125064,01-06-1976,Costa do Sul,RO,879.65,Pessoa Física,True,False,1976
75842747763769,Marisete Nogueira,Arquiteto Operações Regional,Fatores,Supervisor,1999873743,30-05-1976,Jamir do Sul,MA,303.11,Pessoa Jurídica,True,False,1976
10712877533,Sra. Shinji Santos,Técnico Intranet Dinâmico,Aplicações,Ligação,4862883851,25-01-1976,Município de Emília do Norte,MT,235.66,Pessoa Física,True,False,1976
71531560262239,Dr. Ruth Franco,Administrador Configuração Frente,Resposta,Planejador,7244020026,28-03-1976,Velha Elza do Descoberto,MA,737.36,Pessoa Jurídica,True,False,1976
61873612550337,Revail,Administrador Operações Interno,Configuração,Ligação,0071233839,24-03-1976,Hadriano do Descoberto,RJ,476.24,Pessoa Jurídica,True,False,1976
23654433200,Delicia Reis,Desenvolvedor Qualidade Frente,Aplicações,Estrategista,5065806788,23-01-1976,Nova Maria,BA,287.92,Pessoa Física,True,False,1976
01212789210,Wilson Barros,Especialista Contas Global,Ainfraestrutura,Planejador,,23-03-1976,Carvalho do Sul,CE,994.94,Pessoa Física,False,False,1976
90262874610,Marcia Melo Neto,Produtor Configuração Distrito,,Supervisor,24825727792,20-12-1976,Nova Elisia do Sul,AL,395.49,Pessoa Física,True,True,1976
18834364877476,Negipe Filho,Orquestrador Marketing Diretor,Fatores,Planejador,91921629216,27-09-1976,Lívia do Sul,SC,633.61,Pessoa Jurídica,True,False,1976
17531551617505,Sra. Isabel Costa,Desenvolvedor Qualidade Legado,Prestaçãodecontas,Supervisor,,09-06-1976,Vila Ândrea do Descoberto,RS,174.77,Pessoa Jurídica,False,False,1976
19603855189,Sr. Josilene Franco,Administrador Operações Legado,Marca,Especialista,5615661286,29-04-1976,Fatimo do Norte,RS,638.71,Pessoa Física,True,False,1976
73304308466,Júlio Moreira,Supervisor Aplicações Interno,Usabilidade,Oficial,,30-12-1976,Elenice do Descoberto,AP,68.5,Pessoa Física,False,False,1976
81525610080112,Srta. Joeilton Moraes,Designer Otimização Dinâmico,Funcionalidade,Planejador,3097670049,16-08-1976,Grande Waldomiro do Norte,PB,501.6,Pessoa Jurídica,True,False,1976
65216267603,Franck Xavier,Facilitador Segurança Frente,Marketing,Orquestrador,78469097320,29-07-1976,Grande Norival do Sul,PA,393.47,Pessoa Física,True,False,1976
24404108702,Urbano Pereira,Facilitador Interações Legado,Aplicações,Engenheiro,43345069994,08-08-1976,Moraes do Descoberto,PR,693.26,Pessoa Física,True,False,1976
40951699903,Sr. Lêda,Administrador Diretivas Diretor,Dados,Administrador,9707297960,05-14-1976,Loan do Norte,SE,66.34,Pessoa Física,True,False,1976
