document,name,job,jobArea,jobType,phoneNumber,birthDate,city,state,totalSpent,tipo_doc,check_phone_Number,check_jobArea,ano
85704855733,Newton Saraiva,Administrador Comunicações Internacional,Prestaçãodecontas,Facilitador,,10-06-1982,Município de Neide do Sul,RR,57.26,Pessoa Física,False,False,1982
61861484534535,Sr. Yumi,Executivo Qualidade Internacional,Funcionalidade,Orquestrador,5671920219,31-12-1982,Município de Jovelino do Sul,RS,448.48,Pessoa Jurídica,True,False,1982
01543534775,Maria Braga,Facilitador Diretivas Investidor,Programa,Ligação,60316777585,02-05-1982,Velha Ezequiel,RR,994.4,Pessoa Física,True,False,1982
31484445447520,Eliane Saraiva Neto,Supervisor Branding Legado,Paradigma,Supervisor,80534122025,09-09-1982,Velha Hilza de Nossa Senhora,PE,908.93,Pessoa Jurídica,True,False,1982
20665351211090,Wendel Albuquerque Filho,Administrador Mobilidade Legado,Qualidade,Estrategista,0487875046,07-07-1982,Vila Eula de Nossa Senhora,SP,427.79,Pessoa Jurídica,True,False,1982
46287994665,Sr. Delmir Barros,Analista Táticas Líder,Identidade,Gerente,055995649,09-09-1982,Etevaldo de Nossa Senhora,PB,987.6,Pessoa Física,True,False,1982
44544613335345,Gilvane Batista Jr.,Orquestrador Comunicações Legado,Ainfraestrutura,Designer,2904747,19-02-1982,Rocio do Descoberto,AP,690.34,Pessoa Jurídica,True,False,1982
81712180240,Sra. Viviane Macedo,Agente Interações Dinâmico,Mobilidade,Ligação,1931928929,20-10-1982,Carvalho do Descoberto,SC,953.41,Pessoa Física,True,False,1982
95217901560,Sra. Giseli Oliveira,Designer Métricas Legado,Usabilidade,Analista,21715867209,25-10-1982,Vila Valeria,RN,773.6,Pessoa Física,True,False,1982
42772170118216,Geni,Agente Contas Produtos,Mercados,Gerente,08635927008,22-10-1982,Hercilia de Nossa Senhora,DF,542.31,Pessoa Jurídica,True,False,1982
88308666228170,Josè Braga Filho,Designer Funcionalidade Central,Identidade,Facilitador,0124493208,05-07-1982,Município de Genezio,GO,894.82,Pessoa Jurídica,True,False,1982
68564438623,Jeovana Carvalho,Associado Métricas Sênior,Comunicações,Arquiteto,8783967909,16-10-1982,Moreira do Norte,AL,911.31,Pessoa Física,True,False,1982
64346890555,Romina Braga,Estrategista Otimização Central,Comunicações,Estrategista,01123011079,04-09-1982,Mércia de Nossa Senhora,MA,300.91,Pessoa Física,True,False,1982
40904826406,Ginez Franco Neto Jr.,Orquestrador Divisão Investidor,Prestaçãodecontas,Ligação,26190843456,15-07-1982,Kouki de Nossa Senhora,RR,623.58,Pessoa Física,True,False,1982
93195868539,Hilca,Arquiteto Interações Regional,Marketing,Facilitador,47857103079,01-08-1982,Carlo do Descoberto,BA,251.72,Pessoa Física,True,False,1982
44375187646,Srta. Ronie,Ligação Divisão Frente,Rede,Administrador,34260581681,17-01-1982,Braga do Descoberto,RS,310.65,Pessoa Física,True,False,1982
34565862131,Weliton Carvalho,Designer Dados Produtos,Métricas,Orquestrador,9035891011,28-01-1982,Edcleuma do Norte,RO,583.56,Pessoa Física,True,False,1982
00308341040,Héctor Oliveira Filho,Analista Contas Diretor,Segurança,Facilitador,,04-06-1982,Barros de Nossa Senhora,AL,87.74,Pessoa Física,False,False,1982
51017364907,Sr. Eibert,Desenvolvedor Aplicações Sênior,Usabilidade,Executivo,69393186066,20-07-1982,Heleno do Sul,RJ,578.74,Pessoa Física,True,False,1982
47848333310,Cinthia Saraiva Neto,Planejador A infraestrutura Investidor,Pesquisa,Administrador,2609969660,27-11-1982,Velha Cleiton,PR,665.99,Pessoa Física,True,False,1982
15505618416018,Édino Batista,Associado Paradigma Produtos,Paradigma,Designer,4252432348,12-03-1982,Município de Naoko,SC,900.61,Pessoa Jurídica,True,False,1982
82943415170,Sr. Vicente Neto,Diretor Aplicações Chefe,Táticas,Designer,9724245668,29-06-1982,Franco do Norte,CE,931.15,Pessoa Física,True,False,1982
68868156104416,Gildo Carvalho Neto,Executivo Comunicações Frente,,Executivo,7992118577,31-07-1982,Nova Sany do Norte,PI,383.87,Pessoa Jurídica,True,True,1982
66758724514,Eva Braga Neto,Assistente Criativo Chefe,Diretivas,Associado,9834235040,31-10-1982,Saraiva do Descoberto,PE,650.83,Pessoa Física,True,False,1982
52277458465,Amir Pereira Neto,Diretor Táticas Investidor,Marketing,Produtor,5393795862,13-07-1982,Moraes do Norte,PE,949.28,Pessoa Física,True,False,1982
34485704786494,Marlete Jr.,Facilitador Resposta Distrito,Pesquisa,Consultor,05117437836,27-03-1982,Batista de Nossa Senhora,AM,383.71,Pessoa Jurídica,True,False,1982
14851157878,Dr. Neilton Melo,Desenvolvedor Usabilidade Cliente,Garantia,Designer,88967635425,03-09-1982,Levy de Nossa Senhora,GO,528.93,Pessoa Física,True,False,1982
